model,origin_index,origin_date,horizon,label,current_price,actual_price,actual_log,q10_log,q50_log,q90_log,q10_price,q50_price,q90_price
Chronos-2,1239,2018-07-05,63,3M,237420.0000000002,452270.00000000006,13.022034625607525,12.210427284240724,12.531050682067873,12.850074768066406,200872.8267854884,276800.04964193085,380817.2072811787
Chronos-2,1239,2018-07-05,126,6M,237420.0000000002,303082.00000000023,12.621758674941317,12.023367881774902,12.631084442138672,13.216379165649414,166602.8110755155,305921.69274983025,549288.545192301
Chronos-2,1239,2018-07-05,252,12M,237420.0000000002,429900.0,12.971307902484371,11.796813011169434,12.73285961151123,13.976958274841309,132828.35518199025,338696.46829372103,1175211.0128502178
Chronos-2,1491,2019-07-07,63,3M,429900.0,405199.9999999998,12.912136051356663,12.840286254882812,13.166304588317873,13.65099048614502,377107.7576438663,522460.4615681057,848300.7298345347
Chronos-2,1491,2019-07-07,126,6M,429900.0,495899.9999999998,13.114129572477225,12.708789825439451,13.437898635864258,14.359739303588867,330641.44696773554,685496.4750856325,1723278.7834110814
Chronos-2,1491,2019-07-07,252,12M,429900.0,865500.0000000002,13.6710626535984,12.172159194946287,13.267767906188965,14.338550567626951,193331.03289143377,578253.6580761658,1687148.8102516455
Chronos-2,1743,2020-06-30,63,3M,865500.0000000002,1215299.9999999998,14.010501517858891,13.59019947052002,13.857258796691896,14.101104736328123,798267.8490240434,1042631.9513583372,1330552.3787290168
Chronos-2,1743,2020-06-30,126,6M,865500.0000000002,1144200.0000000005,13.950216260816566,13.463363647460938,14.027581214904783,14.43529987335205,703176.8103286036,1236235.2305918294,1858536.435566852
Chronos-2,1743,2020-06-30,252,12M,865500.0000000002,1019300.0000000008,13.834626675156503,13.153115272521973,14.262184143066406,15.22095012664795,515614.8095206906,1563103.9955745095,4077318.608988083
Chronos-2,1995,2021-05-20,63,3M,1019300.0000000008,1084800.0000000007,13.896906196168269,13.495672225952148,13.733278274536133,14.00648021697998,726266.441617434,921057.9873394944,1210422.7261072297
Chronos-2,1995,2021-05-20,126,6M,1019300.0000000008,1171600.0000000007,13.973880893935716,13.229971885681152,13.635783195495604,14.128562927246094,556805.845138239,835497.9684658556,1367593.149023333
Chronos-2,1995,2021-05-20,252,12M,1019300.0000000008,1287800.0000000007,14.06844589408622,12.85119342803955,13.421765327453612,14.163867950439451,381243.4506142765,674525.8829661605,1416738.490947197
Chronos-2,2247,2022-04-06,63,3M,1287800.0000000007,1384300.0000000002,14.140705154675826,13.966146469116213,14.096755981445312,14.229164123535156,1162573.301042743,1324778.6958401706,1512333.111862969
Chronos-2,2247,2022-04-06,126,6M,1287800.0000000007,1322400.0000000007,14.094958825488952,13.901482582092283,14.10710620880127,14.30698013305664,1089775.8404492594,1338561.6619106785,1634716.7946954805
Chronos-2,2247,2022-04-06,252,12M,1287800.0000000007,2512910.0000000005,14.736952002115997,13.804161071777344,14.115988731384276,14.453853607177734,988714.6762650646,1350504.4285256302,1893341.105763799
Chronos-2,2499,2023-03-01,63,3M,2512910.0000000005,2464699.9999999995,14.717580654198455,14.60313320159912,14.853070259094238,15.20223331451416,2198164.389409284,2822321.296496629,4001713.94881769
Chronos-2,2499,2023-03-01,126,6M,2512910.0000000005,2319000.000000001,14.65664661623767,14.470558166503906,14.902490615844728,15.451757431030272,1925234.1727819715,2965305.4861383648,5135857.769069383
Chronos-2,2499,2023-03-01,252,12M,2512910.0000000005,2752800.0000000014,14.828129133465408,14.19760799407959,15.038002014160156,16.14023780822754,1465354.8566620876,3395637.2849596194,10223891.141849078
Chronos-2,2751,2024-01-23,63,3M,2752800.0000000014,3641000.0,15.10776892715757,14.871988296508787,15.02002239227295,15.171380996704102,2876222.319612512,3335130.584285022,3880136.908621428
Chronos-2,2751,2024-01-23,126,6M,2752800.0000000014,3356999.9999999995,15.026558275962172,14.806106567382812,15.138382911682127,15.44664192199707,2692838.9515371355,3754189.264758885,5109652.326493825
Chronos-2,2751,2024-01-23,252,12M,2752800.0000000014,4853500.0,15.395210652134418,14.62427806854248,15.240084648132324,15.690183639526367,2245139.1704805563,4156087.347283406,6518687.692749891
Chronos-2,3003,2024-12-14,63,3M,4853500.0,6511099.999999996,15.689018970724923,15.348270416259766,15.560150146484377,15.822938919067385,4630939.940009802,5723838.166639213,7444149.047665324
Chronos-2,3003,2024-12-14,126,6M,4853500.0,6536299.999999998,15.692881814101424,15.24245548248291,15.662633895874023,16.06387710571289,4165952.431549856,6341550.760006838,9472250.723435448
Chronos-2,3003,2024-12-14,252,12M,4853500.0,11008099.999999989,16.214141923416324,14.89351749420166,15.813434600830078,16.407249450683594,2938816.461656135,7373732.646125846,13352970.810607484
Chronos-2,3255,2025-11-11,63,3M,11008099.999999989,17244299.999999996,16.66299221205343,16.12246322631836,16.3521785736084,16.619426727294922,10043771.271182476,12637492.813024636,16509173.057901427
Chronos-2,3255,2025-11-11,126,6M,11008099.999999989,18075200.000000022,16.710051390954803,16.076797485351562,16.50774383544922,16.90254783630371,9595429.845743593,14764612.605280148,21912062.36993796
Chronos-2,3255,2025-11-11,252,12M,11008099.999999989,23878100.0,16.98847227883414,15.60383129119873,16.723953247070312,17.28238296508789,5979403.018126315,18328233.572692696,32036388.812469058
